used_file,several_articles
./assets/json/2022/06/27\aune.json,137
./assets/json/2022/06/27\chinatimes.json,153
./assets/json/2022/06/27\ltn.json,25
./assets/json/2022/06/27\nownew.json,24
./assets/json/2022/06/27\technew.json,33
./assets/json/2022/06/27\udn.json,96
./assets/json/2022/06/27\wantrich.json,284
./assets/json/2022/06/26\aune.json,27
./assets/json/2022/06/26\chinatimes.json,130
./assets/json/2022/06/26\ltn.json,22
./assets/json/2022/06/26\nownew.json,4
./assets/json/2022/06/26\technew.json,6
./assets/json/2022/06/26\udn.json,45
./assets/json/2022/06/26\wantrich.json,147
./assets/json/2022/06/25\aune.json,28
./assets/json/2022/06/25\chinatimes.json,163
./assets/json/2022/06/25\ltn.json,25
./assets/json/2022/06/25\nownew.json,6
./assets/json/2022/06/25\technew.json,4
./assets/json/2022/06/25\udn.json,44
./assets/json/2022/06/25\wantrich.json,195
./assets/json/2022/06/24\aune.json,115
./assets/json/2022/06/24\chinatimes.json,258
./assets/json/2022/06/24\ltn.json,38
./assets/json/2022/06/24\nownew.json,13
./assets/json/2022/06/24\technew.json,22
./assets/json/2022/06/24\udn.json,104
./assets/json/2022/06/24\wantrich.json,284
./assets/json/2022/06/23\aune.json,142
./assets/json/2022/06/23\chinatimes.json,92
./assets/json/2022/06/23\ltn.json,33
./assets/json/2022/06/23\nownew.json,29
./assets/json/2022/06/23\technew.json,38
./assets/json/2022/06/23\udn.json,86
./assets/json/2022/06/23\wantrich.json,289
./assets/json/2022/06/22\aune.json,103
./assets/json/2022/06/22\chinatimes.json,138
./assets/json/2022/06/22\ltn.json,47
./assets/json/2022/06/22\nownew.json,14
./assets/json/2022/06/22\technew.json,18
./assets/json/2022/06/22\udn.json,112
./assets/json/2022/06/22\wantrich.json,289
./assets/json/2022/06/21\aune.json,89
./assets/json/2022/06/21\chinatimes.json,156
./assets/json/2022/06/21\ltn.json,49
./assets/json/2022/06/21\nownew.json,22
./assets/json/2022/06/21\technew.json,24
./assets/json/2022/06/21\udn.json,86
./assets/json/2022/06/21\wantrich.json,284
./assets/json/2022/06/20\aune.json,99
./assets/json/2022/06/20\chinatimes.json,185
./assets/json/2022/06/20\ltn.json,27
./assets/json/2022/06/20\nownew.json,12
./assets/json/2022/06/20\technew.json,27
